-----RADER:----- 
rad 1:	Bilden som kommunikationsmedel 
rad 2:	Den svenska infrastrukturen i historis… 
rad 3:	Dieselmotorns utveckling 
rad 4:	Flygteknik 
rad 5:	Ljud och vibrationer 
rad 6:	Lättkonstruktioner 
rad 7:	Marina system 
rad 8:	Projektplanering och grupparbete 
rad 9:	Sprickors inverkan på konstruktioners 
rad 10:	Strömningsmekanik 
rad 11:	Systemteknik och köteori 
rad 12:	Transporter och miljön 
rad 13:	Tåg och spårtrafiksystem 
rad 14:	Vetenskap och ovetenskap 
rad 15:	Vägfordonsdynamik 
rad 16:	Vägfordonsteknik 


---KOLONNER:--- 
kol 1007:	 anmarkningsvart 
kol 1008:	 anmärkningsvärda 
kol 1009:	 anna 
kol 1010:	 annans 
kol 1011:	 annika 
kol 1012:	 annonsen 
kol 1013:	 annonser 
kol 1014:	 annorlunda 
kol 1015:	 anordna 
kol 1016:	 anordnar 
kol 1017:	 anordningarna 
kol 1018:	 anordningen 
kol 1019:	 anpassa 
kol 1020:	 anpassade 
kol 1021:	 anpassar 
kol 1022:	 anpassas 
kol 1023:	 anpassat 
kol 1024:	 anpassning 
kol 1025:	 ansari 
kol 1026:	 ansatser 
kol 1027:	 ansedd 
kol 1028:	 anser 
kol 1029:	 anses 
kol 1030:	 ansikte 
kol 1031:	 anskaffningskostnaden 
kol 1032:	 ansluta 
kol 1033:	 ansluter 
kol 1034:	 anslutit 
kol 1035:	 anslutningstransporterna 
kol 1036:	 anslå 
kol 1037:	 anspråk 
kol 1038:	 ansträngning 
kol 1039:	 ansträngningar 
kol 1040:	 anställd 
kol 1041:	 anställda 
kol 1042:	 anställdas 
kol 1043:	 anställer 
kol 1044:	 anställning 
kol 1045:	 ansvar 
